periodo,periodo_dt,anio,mes,banco_estandarizado,activos_totales,pasivos_totales,patrimonio,morosidad,solvencia_proxy,roe,roe_real,roe_estimado,error_roe,error_abs_roe
2009-06,2009-06-01,2009,6,SOLIDARIO,295.78,257.73,37.45,8.28,9.64,3.22,3.22,4.610878103655606,-1.3908781036556062,1.3908781036556062
2009-06,2009-06-01,2009,6,SUDAMERICANO,8.54,2.47,6.07,10.67,48.95,25.14,25.14,16.43455602332853,8.705443976671472,8.705443976671472
2009-06,2009-06-01,2009,6,TERRITORIAL,121.25,111.09,8.19,9.73,5.2,48.21,48.21,40.83266404641652,7.377335953583483,7.377335953583483
2009-06,2009-06-01,2009,6,UNIBANCO,242.62,192.21,48.46,9.12,16.78,8.08,8.08,8.18540112692863,-0.1054011269286299,0.1054011269286299
2009-07,2009-07-01,2009,7,AMAZONAS,123.79,111.67,11.38,4.19,7.59,11.18,11.18,11.041798096440594,0.13820190355940554,0.13820190355940554
2009-07,2009-07-01,2009,7,AUSTRO,632.14,567.93,56.37,7.85,7.32,23.77,23.77,23.31739935906687,0.4526006409331309,0.4526006409331309
2009-07,2009-07-01,2009,7,BOLIVARIANO,1259.49,1143.0,107.46,1.56,7.51,14.23,14.23,13.881348388648387,0.34865161135161316,0.34865161135161316
2009-07,2009-07-01,2009,7,CAPITAL,61.03,48.62,11.75,11.87,16.32,9.65,9.65,13.813892683520185,-4.163892683520185,4.163892683520185
2009-07,2009-07-01,2009,7,CITIBANK,331.0,300.09,28.96,98.02,7.64,11.6,11.6,11.664534149369155,-0.06453414936915536,0.06453414936915536
2009-07,2009-07-01,2009,7,COFIEC,12.35,3.79,8.42,5.3,49.64,2.87,2.87,11.741312551707551,-8.87131255170755,8.87131255170755
2009-07,2009-07-01,2009,7,COMERCIAL DE MANABI,30.78,23.98,6.58,5.53,15.84,5.55,5.55,4.502428226310724,1.0475717736892758,1.0475717736892758
2009-07,2009-07-01,2009,7,DELBANK,14.57,7.18,7.34,4.83,38.79,1.17,1.17,4.168354877899881,-2.9983548778998808,2.9983548778998808
2009-07,2009-07-01,2009,7,FINCA,38.35,27.79,10.26,12.37,23.21,5.04,5.04,4.6466653993229015,0.3933346006770986,0.3933346006770986
2009-07,2009-07-01,2009,7,GENERAL RUMIÑAHUI,351.44,327.63,21.5,4.11,5.19,18.44,18.44,20.55120305194807,-2.1112030519480705,2.1112030519480705
