periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2009-02,AUSTRO,activos_totales,620.17,millones_usd,mayor_es_tamano,2009-02-01,651.2508333333334,270.625,24,-31.08083333333343,-4.7724826967592
2009-02,AUSTRO,morosidad,6.29,porcentaje,menor_es_mejor,2009-02-01,6.478333333333333,4.355,24,-0.18833333333333258,-2.9071263184975447
2009-02,AUSTRO,pasivos_totales,562.08,millones_usd,informativo,2009-02-01,581.3854166666666,227.82,24,-19.305416666666588,-3.3205883933850404
2009-02,AUSTRO,patrimonio,56.66,millones_usd,mayor_es_mejor,2009-02-01,68.45166666666667,26.634999999999998,24,-11.791666666666671,-17.22626670887001
2009-02,AUSTRO,roe,15.04,porcentaje,mayor_es_mejor,2009-02-01,17.125,12.115,24,-2.085000000000001,-12.175182481751829
2009-02,AUSTRO,solvencia_proxy,7.87,porcentaje,mayor_es_mejor,2009-02-01,14.571250000000001,9.49,24,-6.701250000000001,-45.98953418546796
2009-02,BOLIVARIANO,activos_totales,1280.61,millones_usd,mayor_es_tamano,2009-02-01,651.2508333333334,270.625,24,629.3591666666665,96.63851997630198
2009-02,BOLIVARIANO,morosidad,1.61,porcentaje,menor_es_mejor,2009-02-01,6.478333333333333,4.355,24,-4.868333333333332,-75.14792899408283
2009-02,BOLIVARIANO,pasivos_totales,1170.89,millones_usd,informativo,2009-02-01,581.3854166666666,227.82,24,589.5045833333335,101.39652052389232
2009-02,BOLIVARIANO,patrimonio,107.46,millones_usd,mayor_es_mejor,2009-02-01,68.45166666666667,26.634999999999998,24,39.008333333333326,56.98668160015582
2009-02,BOLIVARIANO,roe,12.18,porcentaje,mayor_es_mejor,2009-02-01,17.125,12.115,24,-4.945,-28.875912408759124
2009-02,BOLIVARIANO,solvencia_proxy,7.25,porcentaje,mayor_es_mejor,2009-02-01,14.571250000000001,9.49,24,-7.321250000000001,-50.244488290297674
2009-02,CAPITAL,activos_totales,64.91,millones_usd,mayor_es_tamano,2009-02-01,651.2508333333334,270.625,24,-586.3408333333334,-90.03302618934589
2009-02,CAPITAL,morosidad,13.42,porcentaje,menor_es_mejor,2009-02-01,6.478333333333333,4.355,24,6.941666666666667,107.15204527913559
2009-02,CAPITAL,pasivos_totales,53.05,millones_usd,informativo,2009-02-01,581.3854166666666,227.82,24,-528.3354166666667,-90.87524411875371
2009-02,CAPITAL,patrimonio,11.72,millones_usd,mayor_es_mejor,2009-02-01,68.45166666666667,26.634999999999998,24,-56.73166666666667,-82.87843003579168
2009-02,CAPITAL,roe,7.5,porcentaje,mayor_es_mejor,2009-02-01,17.125,12.115,24,-9.625,-56.20437956204379
2009-02,CAPITAL,solvencia_proxy,15.1,porcentaje,mayor_es_mejor,2009-02-01,14.571250000000001,9.49,24,0.5287499999999987,3.6287209402075913
2009-02,CITIBANK,activos_totales,297.8,millones_usd,mayor_es_tamano,2009-02-01,651.2508333333334,270.625,24,-353.4508333333334,-54.272611295443006
2009-02,CITIBANK,morosidad,10.23,porcentaje,menor_es_mejor,2009-02-01,6.478333333333333,4.355,24,3.751666666666668,57.91098533573452
2009-02,CITIBANK,pasivos_totales,267.9,millones_usd,informativo,2009-02-01,581.3854166666666,227.82,24,-313.48541666666665,-53.920412807052124
2009-02,CITIBANK,patrimonio,28.96,millones_usd,mayor_es_mejor,2009-02-01,68.45166666666667,26.634999999999998,24,-39.49166666666667,-57.692775924618346
2009-02,CITIBANK,roe,19.54,porcentaje,mayor_es_mejor,2009-02-01,17.125,12.115,24,2.414999999999999,14.102189781021893
2009-02,CITIBANK,solvencia_proxy,8.13,porcentaje,mayor_es_mejor,2009-02-01,14.571250000000001,9.49,24,-6.44125,-44.20519859312001
2009-02,COFIEC,activos_totales,12.54,millones_usd,mayor_es_tamano,2009-02-01,651.2508333333334,270.625,24,-638.7108333333334,-98.07447463278999
2009-02,COFIEC,morosidad,23.71,porcentaje,menor_es_mejor,2009-02-01,6.478333333333333,4.355,24,17.23166666666667,265.98919475173665
