periodo,indicador,promedio_sistema,mediana_sistema,bancos_con_dato
2020-06,solvencia_proxy,13.7525,10.7,24
2020-07,activos_totales,1853.1575,553.63,24
2020-07,morosidad,12.81125,3.565,24
2020-07,pasivos_totales,1641.8000000000002,483.005,24
2020-07,patrimonio,204.79875,60.625,24
2020-07,roe,5.448333333333334,5.535,24
2020-07,solvencia_proxy,13.573333333333332,10.5,24
2020-08,activos_totales,1875.7562500000001,548.515,24
2020-08,morosidad,5.16625,3.41,24
2020-08,pasivos_totales,1662.5529166666665,477.08000000000004,24
2020-08,patrimonio,206.29333333333332,60.81,24
2020-08,roe,7.664583333333333,4.835,24
2020-08,solvencia_proxy,13.450000000000001,10.395,24
2020-09,activos_totales,1890.42875,581.6,24
2020-09,morosidad,5.96875,4.125,24
2020-09,pasivos_totales,1677.6254166666668,508.465,24
2020-09,patrimonio,205.56500000000003,60.81,24
2020-09,roe,10.534583333333334,4.79,24
2020-09,solvencia_proxy,13.054166666666667,10.195,24
2020-10,activos_totales,1944.3929166666667,574.665,24
2020-10,morosidad,4.801666666666667,2.955,24
2020-10,pasivos_totales,1730.9279166666665,501.92,24
2020-10,patrimonio,205.52541666666664,59.7,24
2020-10,roe,8.069999999999999,4.545,24
2020-10,solvencia_proxy,12.847083333333332,9.690000000000001,24
2020-11,activos_totales,1946.3858333333335,572.115,24
2020-11,morosidad,4.654583333333333,3.4050000000000002,24
2020-11,pasivos_totales,1733.1141666666665,503.53,24
2020-11,patrimonio,204.72833333333332,59.665,24
2020-11,roe,9.72,4.1850000000000005,24
2020-11,solvencia_proxy,12.63125,9.46,24
2020-12,activos_totales,2019.1120833333334,589.5,24
2020-12,morosidad,8.343333333333334,3.07,24
2020-12,pasivos_totales,1806.837083333333,520.39,24
2020-12,patrimonio,212.27583333333334,62.005,24
2020-12,roe,11.145416666666668,4.3149999999999995,24
2020-12,solvencia_proxy,12.198749999999999,8.825,24
2021-01,activos_totales,1994.67875,576.145,24
2021-01,morosidad,4.687083333333333,3.395,24
2021-01,pasivos_totales,1781.8441666666668,504.74,24
2021-01,patrimonio,211.6641666666667,62.005,24
2021-01,roe,11.074583333333335,5.4,24
2021-01,solvencia_proxy,13.094999999999999,10.015,24
2021-02,activos_totales,1994.1383333333333,588.5699999999999,24
2021-02,morosidad,4.69125,3.43,24
2021-02,pasivos_totales,1780.9216666666669,516.61,24
2021-02,patrimonio,211.1075,62.0,24
2021-02,roe,9.290833333333333,5.875,24
2021-02,solvencia_proxy,12.990416666666667,9.865,24
2021-03,activos_totales,2021.1045833333335,609.655,24
2021-03,morosidad,8.684583333333334,3.7350000000000003,24
2021-03,pasivos_totales,1807.5366666666669,537.715,24
2021-03,patrimonio,210.18541666666667,62.005,24
2021-03,roe,4.203333333333333,5.14,24
